År;Månad;Företag;M;FP;C;KD;S;V;MP;SD;Övriga;M FP C KD (1);S V MP (2);(1) - (2);Osäkra;Publicerad;Intervjperiod;Intervjuer;FI;PP;;
2008;September;Demoskop;24,1;8,1;4,5;3,2;45,6;6,2;5,6;2,1;0,6;39,9;57,4;-17,5;12,7;12 sept;27 aug - 3 sept;1 009;;;;
;;;;;;;;;;;;;;;;;;;;;;
2008;Augusti;Novus;21,3;6,7;6,2;4,9;42,4;5,9;6,6;3,7;2,2;39,1;54,9;-15,8;13,2;31 aug;12-26 aug;2 000;;;;
2008;Augusti;Synovate;22,4;6,8;6,2;3,3;45,4;5,3;5,8;3,3;1,5;38,7;56,5;-17,8;18,9;29 aug;18-27 aug;1 706;;;;
2008;Augusti;Sifo;22,2;6,8;6,7;5,0;42,8;5,1;5,5;4,4;1,5;40,7;53,4;-12,7;16,6;24 aug;11 - 21 aug;1 908;;;;
2008;Augusti;Sentio;21,2;5,9;4,9;3,7;42,2;6,6;6,4;5,5;3,6;35,7;55,2;-19,5;;5 aug;15 - 20 juli;1 000;;;;
2008;Augusti;Demoskop;25,1;7,6;5,0;3,3;40,8;6,4;7,7;3,1;1;41,0;54,9;-13,9;14,3;;;1 000;;;;
;;;;;;;;;;;;;;;;;;;;;;
2008;Juli;Skop;23,0;7,5;6,9;5,5;38,9;5,6;7,2;4,0;1,4;42,9;51,7;-8,8;7,0;16 juli;16 juni - 12 juli;;;;;
2008;Juli;Demoskop;24,4;6,3;5,4;3,1;43,5;5,8;6,9;2,6;1,9;39,2;56,2;-17,0;12,7;2 juli;25 juni - 1 juli;1 010;;;;
;;;;;;;;;;;;;;;;;;;;;;
2008;Juni;Skop;26,2;7,5;6,5;5,5;36,8;6,8;7,2;2,5;1;45,7;50,8;-5,1;4,0;24 juni;15 maj - 14 juni;1 114;;;;
2008;Juni;Synovate;22,4;6,4;6,2;4,4;43,9;6,2;5,6;3,9;0,9;39,4;55,7;-16,3;19,8;23 juni;4-17 juni;2 864;;;;
2008;Juni;Novus;21,1;6,4;6,3;4,2;42,8;6,5;6,5;4,2;2;38,0;55,8;-17,8;11,4;;;;;;;
2008;Juni;Sifo;22,6;7,7;5,5;4,4;41,6;5,4;6,6;4,2;2,1;40,2;53,6;-13,4;14,8;15 juni;2 - 12 juni;1 888;;;;
2008;Juni;SCB;22,4;6,8;6,2;4,6;44,7;5,1;5,9;2,8;1,4;40,0;55,7;-15,7;;11 juni;28 april - 25 juni;6 822;;;;
