År,Månad,Företag,M,L,C,KD,S,V,MP,FI,PP,SD,Övriga,Osäkra,Publicerad,Intervjuperiod,Intervjuer
2015,Maj,YouGov,22.9,4.9,6.6,3.5,26.1,6.7,5.4,2.9,,19.7,4.2,,21 maj,13 - 18 maj,1492
2015,Maj,Novus,25.7,4.5,6.7,3.5,25.8,6.8,7.2,1.8,,16.8,3,7.2,21 maj,20 apr - 17 maj,4002
2015,Maj,Sifo,24.4,5.7,7.2,3.2,25.9,7.5,8.2,2.3,,14.7,3.2,13.7,17 maj,4 - 12 maj,1931
2015,Maj,Demoskop,25.8,5.3,6.2,4.2,27.7,6.3,6.4,2.2,,15,3,13.4,8 maj,28 apr - 6 maj,1251
2015,Maj,Aftonbladet,24.1,4.9,7.6,4.3,27.3,5.5,6.4,,,16.4,3.4,,1 maj,22 - 30 april,2185
2015,Maj,Ipsos,25.8,6,4.9,4.1,27.7,6.5,6.8,2.1,,14.6,3.5,14,1 maj,16 - 27 april,1203
,,,,,,,,,,,,,,,,,
2015,April,YouGov,23.5,4.9,6.3,3.7,26.2,6.6,5.6,2.7,,19.5,3.7,,24-Apr,17 - 20 april,1528
2015,April,Novus,25.2,5.2,5.9,3.7,27.1,7.1,6.8,2.2,,15.8,3.2,6.6,23-Apr,23 mars - 19 april,4011
2015,April,Sifo,24.7,5.6,6.5,3.9,27.4,6.6,8.9,2.6,,12.5,3.9,14.8,20-Apr,7 - 16 april,1936
2015,April,Aftonbladet,24.4,3.5,7.3,4.5,28.8,6.7,6.1,,,16.3,2.4,,20-Apr,7 - 15 april,2280
2015,April,Sentio,25.5,4.1,5.6,3.5,25.6,7.4,5.6,,,17.8,4.9,,15-Apr,9 - 14 april,1046
2015,April,Demoskop,25,5.3,6.5,3.8,28.3,6.1,6.9,1.9,,15.7,2.5,11.2,11-Apr,31 mars - 8 april,1253
,,,,,,,,,,,,,,,,,
2015,Mars,Novus,24.2,4.9,5.6,4.2,31,5.3,6.5,2,,15.2,3.1,6.1,26 mars,23 feb - 22 mars,2500
2015,Mars,Ipsos,24.8,5.8,4.7,3.8,30.7,6.7,7.2,2.3,,12.8,3.5,13.4,22 mars,9 - 17 mars,1202
2015,Mars,YouGov,21.1,5.2,6.3,4.6,29.1,5.6,5.8,2.7,,18.5,3.9,,20 mars,13 - 16 mars,1514
2015,Mars,Aftonbladet,24.7,3.8,6.1,5.2,28.8,6.4,5.7,,,16,3.3,,16 mars,5 - 12 mars,1844
2015,Mars,Skop,24.4,6.1,6.4,3.6,30.6,6.3,7.1,2.2,,12.9,2.7,5,16 mars,19 feb - 11 mars,1035
2015,Mars,Sifo,23.9,5.1,6.6,4,29.8,6.5,6.6,2.5,,13.9,3.5,15.1,15 mars,2 - 12 mars,1956
2015,Mars,Sentio,22.2,4.7,6.8,3.8,28.2,7.7,6.6,,,16.6,3.4,16,12 mars,5 - 11 mars,1043
2015,Mars,Demoskop,24.1,4.5,6.5,3.7,31.3,5.8,6.2,2.1,,14.2,3.7,10.6,6 mars,24 feb - 4 mars,1250
,,,,,,,,,,,,,,,,,
2015,Februari,Ipsos,23.7,5.2,6,3.7,31.4,6.3,7.5,2,,13.6,2.6,13.2,28-Feb,12 - 23 feb,1202
